,Neighborhoods,Latitudes,Longitudes,Prices(sqft)
761,HAUZ RANI,,,3571.43
762,Hill View,,,18416.67
763,Jaitpur Extension Part II,,,nan
764,Jamia Millia Islamia,,,nan
765,Kanjhawla,,,3471.55
766,Karawal Nagar,,,2666.67
767,Kautilya Marg,,,nan
768,Mahipalpur Extention,,,nan
769,Maujpur,,,nan
770,Mehrauli Village,,,3870.36
771,Munirka Kunj Main Road,,,1395.24
772,NRI Colony New Delhi,,,nan
773,Om Vihar Phase 3,,,nan
774,Palam Colony,,,nan
775,Palam Extension,,,nan
776,Palam Vihar,,,9152.54
777,Prem Nagar Road,,,nan
778,Pul Prahladpur,,,nan
779,R K Puram,,,29411.76
780,Raja garden,,,nan
781,Rajouri Garden Extension,,,nan
782,Ram Nagar Extension,,,5555.56
783,Ramesh Park L Block Road,,,nan
784,Rithala,,,4550
785,Rohini Extension,,,nan
786,RWA Colony,,,nan
787,Saharanpur Delhi Road,,,nan
788,Sanjay Colony,,,nan
789,Sawan Park,,,nan
790,Sector 1 Rohini,,,nan
791,Sector 10,,,8919.76
792,Sector 4 Road,,,1017.2
793,Sector 6,,,7889
794,Sector-16 Dwarka,,,4250
795,Sector-19 Rohini,,,11531.25
796,Sector-21 Rohini,,,7865.38
797,SFS Flats Saket,,,13571.43
798,Shivalik Block B,,,nan
799,Sidharth Ext,,,12727.27
800,Siri Fort,,,nan
801,Sri Niwaspuri,,,nan
802,Street Number 12,,,nan
803,Sultanpur Extension,,,3969.7
804,Vasant Kunj Nangal Dewat,,,nan
805,10 Dwaraka Marg,,,8428.9
806,100 Feet Road,,,nan
807,59 Sector 22 Road,,,12975.78
808,A1 Block Paschim Vihar Delhi,,,10952.38
809,Aaya Nagar,,,nan
810,Alipur Village,,,nan
811,Anand Parbat,,,nan
812,Ashok Vihar Phase-2,,,nan
813,Bamnoli Village Delhi,,,5000
814,Bawana,,,nan
815,Block B Pochanpur,,,nan
816,Block J Rajouri Garden Extensi,,,12923.08
817,Budh Nagar,,,7777.78
818,Chitrakoot,,,nan
819,D6 Sector D,,,nan
820,Dashrath Puri,,,nan
821,DAYANAND COLONY,,,nan
822,Delhi Gurgaon Expressway,,,nan
823,Delhi Rohtak Road,,,nan
824,Dhul Siras,,,4375
825,Dilshad Plaza,,,nan
826,DK Road,,,nan
827,DLF City Phase II Delhi,,,nan
828,DLF Farms,,,nan
829,DLF Phase 5,,,12375.48
830,DND Toll Booth,,,nan
831,DPS Matiyala,,,8750.75
832,Dr Ambedkar Colony,,,4666.67
833,Dwaraka Marg,,,nan
834,East Punjabi Bagh Jaidev Park,,,nan
835,Gali Number 13,,,nan
836,Geetanjali Enclave West Sagarp,,,nan
837,Geetanjali Park Block RZ,,,nan
838,Govindpura Old,,,6112.91
839,Govindpuri Main,,,nan
840,Goyla Dairy,,,nan
841,Goyla Khurd,,,nan
842,Greater Kailash 3 Road,,,nan
843,GurgaonMehrauli Road,,,nan
844,Hailey Road,,,43243.24
845,Hamdard Nagar,,,nan
846,Hastsal Road,,,nan
847,Ibrahimpur,,,nan
848,Jain Colony Delhi,,,nan
849,Jaipur Road,,,nan
850,Jama Masjid,,,nan
851,Kailash Enclave Harsh Vihar,,,nan
852,Kair,,,nan
853,Kalindi,,,nan
854,Kapil Vihar,,,nan
855,Kashmere Gate,,,nan
856,Katwaria Sarai,,,8125
857,Khajoori Khas,,,nan
858,Khirki Extn,,,nan
859,Laxmi Bai Nagar,,,nan
860,Madangir Village,,,nan
861,Mahendru Enclave,,,nan
862,Masjid Moth Village,,,7000
863,masoodpur,,,14629.63
864,Maya Enclave,,,8771.65
865,Milap Nagar Main,,,nan
866,Nangli Sakrawati,,,nan
867,Naraina Vihar,,,nan
868,Nawada Shyam Park,,,nan
869,New Layal Pur,,,5000
870,New Mustafabad,,,nan
871,New Palam Vihar Phase 2,,,nan
872,New Uttam Nagar,,,nan
873,Peeragarhi Village,,,592.07
874,Prakash Mohalla,,,nan
875,Rajdhani Enclave,,,nan
876,Rajendra Park,,,nan
877,Rajiv Chowk,,,11000
878,Ram Datt Enclave,,,nan
879,Ramesh Nagar Road,,,nan
880,Residential Floorsector,,,13137.79
881,Saiyad Ul Ajaib,,,nan
882,Sarai Kale Khan,,,nan
883,Sarojini Nagar,,,4526.75
884,Sector 18,,,11183.57
885,Sector 62,,,nan
886,Sector 8B,,,13240.74
887,Shiv Nagar,,,nan
888,Shreshtha Vihar,,,12444.44
889,Shyam Enclave,,,5555.56
890,South Anarkali New Delhi,,,nan
891,State Bank Nagar,,,nan
892,Suraj Kund Badkhal Road,,,nan
893,Surhera,,,4300
894,Tajpur Pahari Village,,,nan
895,Tarun Enclave,,,nan
896,Vasant Kunj Sector A,,,nan
897,Vishal Enclave,,,3724.14
898,Wazirpur,,,nan
899,West End,,,nan
900,55 Sector 13 Main Road,,,nan
901,82 Sector 22 Road,,,5462.17
902,85 Sector 22 Road,,,5720
903,Abul Fazal Enclave I,,,nan
904,Adchini,,,nan
905,AKSHARDHAM,,,23171.14
906,Ambica Vihar,,,9615.38
907,Amrit Puri Block B,,,nan
908,Aradhna Enclave,,,nan
909,Ashirwad,,,8750
910,Ashok Vihar Phase 3,,,nan
911,Avantika Sector 1,,,nan
912,Azad Apartments,,,25000
913,Badarpur Mehrauli Road,,,nan
914,Bagdola,,,nan
915,Baldev Park East,,,7812.5
916,Batla House Okhla,,,nan
917,Bees Sutri Harijan Basti,,,1583.33
918,Bengali Colony Mahavir Enclave,,,nan
919,Bengali Market,,,nan
920,Ber Sarai,,,18750
921,Bhawani Kunj,,,nan
922,Bijwasan Road,,,nan
923,Block C Mansa Ram Park,,,nan
924,Block J K,,,nan
925,Block ND Dakshini Pitampura,,,nan
926,Block PP Poorvi Pitampura,,,nan
927,Block S Greater Kailash I,,,nan
928,CD Block Dakshini Pitampura,,,25000
929,Chanakya Place I,,,nan
930,CSP Flats,,,nan
931,DCM School Marg,,,6478.21
932,Dera Mandi,,,nan
933,Devli Extention,,,2430.56
934,Devli Extention Deoli Gaon Nai,,,3143.6
935,Dhansa,,,nan
936,DLF City Phase 3 Road,,,315.83
937,Dori Walan,,,nan
938,East Block Road,,,nan
939,Ekta Vihar,,,nan
940,Gadaipur Bandh Road,,,nan
941,Gagan Vihar Extension Gagan Vi,,,nan
942,Gandhi Nagar Seelampur,,,nan
943,Ghevra,,,nan
944,Ghitorni Village South Delhi,,,17500
945,Gold Valley,,,nan
946,GT Road,,,1441.49
947,Gulab Bagh,,,566.67
948,Guru Ramdas Nagar,,,nan
949,Gurunanak Pura,,,nan
950,Har Nagar,,,nan
951,IGI Airport,,,4826.07
952,Indra Enclave,,,nan
953,Islampur,,,nan
954,Jaffarpur Kalan,,,nan
955,jangpura bhogal,,,nan
956,Jasola Sector 8,,,10833.33
957,Jhandewalan,,,nan
958,Jor Bagh Colony Road,,,nan
959,Kalkaji Flyover,,,12534.18
960,Kalyan Puri Road,,,4920.63
961,Keshavpuram,,,8333.33
962,Khushi Ram Park Param Puri,,,5000
963,Kirti Nagar Industrial Area,,,nan
964,kishan ghar,,,nan
965,Kishangarh Village New Delhi,,,5617.98
966,Lodhi Colony,,,12000
967,Lodhi Road,,,nan
968,Madan Puri,,,nan
969,Mahavir Enclave Nanda Block,,,nan
970,Mahendra Park,,,nan
971,Mahipalpur Village,,,nan
972,Malviya Nagar Road,,,nan
973,Mandawali Main Road,,,nan
974,Mandi House,,,nan
975,Mangal Bazaar Road,,,nan
976,Manglapuri Village,,,36638.98
977,Mathura Road,,,13750
978,Mathura Road Jasola,,,nan
979,Mayur Vihar Pocket F,,,47435.48
980,Mianwali Nagar Peera Garhi,,,10400
981,Mirpur Turk,,,4483.43
982,Molarband Village,,,nan
983,Moti Bagh South,,,4545.45
984,Mubarakpur Dabas,,,nan
985,Mukund Pur Part II,,,nan
986,Munirka Flyover,,,10296.3
987,Munirka Marg,,,11273.33
988,New Ashok Nagar Block E,,,nan
989,New Gupta Colony,,,nan
990,New Mahavir Nagar,,,nan
991,New Rohtak Road,,,nan
992,NH8 Toll booth,,,nan
993,Om Nagar,,,nan
994,Palika Bazar,,,nan
995,Pant Nagar,,,3264.76
996,Pind Wala Khurd Village,,,65573.77
997,Pocket 6 Sector D,,,nan
998,Pocket 7 Sector D,,,11764.71
999,Pocket 8 Sector C,,,16666.67
1000,Pratap Khand,,,6209.15
1001,QU Block Uttari Pitampura,,,nan
1002,Rani Bagh,,,nan
1003,Sadh Nagar Palam Colony,,,3823.53
1004,Samalkha,,,nan
1005,Samay Pur,,,nan
1006,Sandesh Vihar,,,18518.52
1007,Sanjay Colony Okhla Phase II,,,nan
1008,santosh park,,,nan
1009,Satyawati Colony,,,nan
1010,Savitri Nagar,,,nan
1011,Savitri Nagar Village,,,nan
1012,Sector 108,,,5624.3
1013,Sector 16A Dwarka,,,6269.59
1014,Sector 42,,,nan
1015,Sector 49,,,nan
1016,Sector 5,,,8758.77
1017,Sector 7,,,9485.71
1018,Sector B Pocket 10,,,1947.62
1019,Sector17 Rohini,,,7995.09
1020,Sector7 Rohini,,,nan
1021,Shaheen Bagh New Delhi,,,4896.42
1022,Shanti Kunj Main Road,,,nan
1023,Shastri Nagar Road,,,nan
1024,Shiksha Bharti School Road,,,nan
1025,Shiva Enclave,,,nan
1026,Siraspur,,,nan
1027,Sultan Puri,,,nan
1028,Tigri Colony,,,nan
1029,Tihar Village,,,nan
1030,Virender Nagar,,,nan
1031,Vrindavan Road,,,4468.12
1032,West Bhai Parmanand Colony,,,nan
1033,West Enclave,,,10752.68
1034,West Sagarpur Shiv Puri,,,nan
1035,West Vinod Nagar,,,nan
1036,Yamuna Road,,,10505.63
1037,Yojna Vihar,,,nan
1038,Zamrudpur Village,,,nan
1039,Moti Bagh,,,nan
1040,Delhi Cantt,,,527.04
1041,102 Sector 21 Road,,,3389.42
1042,127 Sector 23 Road,,,13745.7
1043,40 Sector 21 Road,,,nan
1044,81 Noida Link Road,,,nan
1045,91 Sector 23 Road,,,41.07
1046,A Block,,,nan
1047,Abul Fazal Enclave New Delhi,,,nan
1048,Abul Fazal Enclave Part 2 New ,,,4555.56
1049,Adhchini,,,nan
1050,Alipur,,,nan
1051,Anarkali Colony South Anarkali,,,nan
1052,Andrews Ganj,,,nan
1053,Antriksh Bhawan,,,3542.37
1054,Anup Nagar,,,nan
1055,Aya Nagar Phase 5,,,nan
1056,B Block,,,nan
1057,B1 Block Paschim Vihar,,,nan
1058,Baljit Nagar,,,nan
1059,Bamnoli Village Sector 28 Dwar,,,nan
1060,Basai Dara pur,,,nan
1061,Basantpur,,,nan
1062,Batra Gali,,,nan
1063,Begam Pur,,,nan
1064,Begumpur Road,,,nan
1065,Bhajanpura,,,nan
1066,Bindapur Road,,,nan
1067,Block A Sector 8 Dwarka,,,nan
1068,Block I,,,nan
1069,Block JP Poorvi Pitampura,,,9988.01
1070,Block M,,,nan
1071,Block UU Uttari Pitampura,,,7781.65
1072,Block Wa Nanakpura,,,nan
1073,Budh Vihar Phase II,,,nan
1074,Burari Kamal Vihar,,,nan
1075,Chennai Delhi Highway,,,nan
1076,Chirag Dilli,,,3500
1077,Commercial Shop Karol Bagh,,,16650
1078,Commonwealth Games Village,,,15476.19
1079,Dabri Extension East,,,nan
1080,Dakshini Pitampura,,,nan
1081,Dakshinpuri,,,nan
1082,Dalmia Vihar,,,nan
1083,Daya Basti,,,nan
1084,Devli Extension,,,nan
1085,Dhaka Village,,,nan
1086,DLF City Phase 1,,,nan
1087,DLF Golf Course,,,nan
1088,Durga Puri,,,nan
1089,E Block Preet Vihar,,,13263.42
1090,East Guru Angad Nagar,,,nan
1091,East Vinod Nagar,,,nan
1092,Experion Heartsong,,,6303.13
1093,Gali Number 5 MS Block,,,nan
1094,Gautam Nagar Road,,,nan
1095,Gautampuri Awas,,,nan
1096,Ghaffar ManzilJohri Farm Road,,,nan
1097,Ghazipur Village,,,nan
1098,Gulabhi Bagh Om Vihar,,,3600
1099,Gulmohar Park Road,,,nan
1100,Gurgaon Dabri Road,,,4585.51
1101,Guru Ram Dass Nagar Government,,,nan
1102,Hauz Khas Village New Delhi,,,nan
1103,Indraprasth Colony,,,nan
1104,Jammu Delhi Road,,,6250
1105,Janakpuri B1 Market,,,9444.44
1106,Jangpura A,,,nan
1107,Jivan Park,,,nan
1108,JJ Colony,,,nan
1109,Kailash Road,,,nan
1110,Kalkaji Govindpuri Extension,,,nan
1111,Kamruddin Nagar,,,nan
1112,Kapas Hera Extension,,,1866.67
1113,Karampura West,,,13513.51
1114,KG 2 Road,,,8801.96
1115,Khizarabad Bhagol,,,nan
1116,KMP Expressway,,,nan
1117,Krishan Vihar,,,nan
1118,Krishi Kunj,,,nan
1119,Kundli Manesar Palwal Expressw,,,53125
1120,Lakshmi Park,,,nan
1121,Laldora,,,nan
1122,LIG Flats,,,8819.93
1123,Madhu Vihar IPExtension,,,nan
1124,Maidan Garhi Road,,,nan
1125,Malka Ganj Road,,,nan
1126,Malviya Nagar Inner Lane,,,nan
1127,Mandakini Enclave,,,16388.89
1128,Mandi Road,,,5800
1129,Mayapuri,,,nan
1130,Mayur Vihar Phase3 Main Road,,,nan
1131,Model Town Phase-1,,,nan
1132,Model Town Phase-2,,,nan
1133,Mohan Baba Nagar,,,nan
1134,Mount Kailash Apartment,,,18333.33
1135,Narmada Apartments,,,13462.57
1136,Nawada Majra Village,,,nan
1137,Nayak Pura,,,nan
1138,Nehru Enclave C Block Kalkaji ,,,nan
1139,Nehru Nagar,,,nan
1140,Netaji Subash Marg,,,7826.09
1141,New Ranjeet Nagar,,,nan
1142,New Seelampur,,,nan
1143,Noor Nagar,,,4266.67
1144,ohkla industrial area Ph I,,,nan
1145,Old Gupta Colony,,,nan
1146,Palam Metro Road,,,nan
1147,Partap Nagar,,,5000
1148,Paschim Vihar A 1 Block,,,8300
1149,Peepal Wala Road,,,nan
1150,Phase 3 Ashok Vihar,,,nan
1151,Pocket 1 Sector B,,,nan
1152,Pocket 11 Sector B,,,16000
1153,Pocket 2 Sector D,,,13365.38
1154,Pocket 9 Sector C,,,16666.67
1155,Pocket A SectorA,,,nan
1156,Pocket BC SectorA,,,nan
1157,Pooth Kalan,,,nan
1158,Pratap Vihar,,,nan
1159,Press Enclave,,,nan
1160,Priyadarshini Vihar Priya Priy,,,nan
1161,Pushkar Enclave,,,nan
1162,Qutub Vihar I,,,nan
1163,R.K. Puram,,,nan
1164,Radhey Puri,,,nan
1165,Rajasthan Udyog Nagar,,,nan
1166,Rajdoot Marg,,,nan
1167,Rajpur Khurd Village Mahavir C,,,nan
1168,Ramesh Park Street Number 11,,,nan
1169,Rameshwar Nagar,,,nan
1170,Rampuri Kalkaji,,,nan
1171,Residential Flat Mehrauli,,,3370.79
1172,Rishi Nagar,,,6222.22
1173,Rohini Sector 8 Road,,,nan
1174,Saboli,,,nan
1175,Saidabad,,,nan
1176,Saiyad Ul Ajaib Village,,,3777.78
1177,Salempur Majra,,,18750
1178,Saraswati Garden,,,nan
1179,Sardar Patel Enclave,,,nan
1180,Sarojini Park,,,nan
1181,Sat Bari,,,nan
1182,Sector 1,,,8674.1
1183,Sector 10 Pocket 1,,,7250
1184,Sector 12 Dwarka Pocket 2,,,8000
1185,Sector 13 Main Road,,,nan
1186,Sector 14,,,nan
1187,Sector 21 Road,,,5263.16
1188,Sector 3,,,nan
1189,Sector 30,,,4603.58
1190,Sector 35,,,nan
1191,Sector 43,,,nan
1192,Sector 7D,,,nan
1193,Sector 8A,,,nan
1194,Sector C Pocket 2,,,nan
1195,Sector E,,,nan
1196,Sector-16 Rohini,,,nan
1197,Sector-22 Rohini,,,nan
1198,Sector16 Rohini,,,nan
1199,Sector4pkt 1,,,9233.81
1200,Seemapuri,,,nan
1201,Shahabad Mohammadpur,,,4266.67
1202,Shahpur Jat Village,,,nan
1203,Shankar Vihar,,,12306.61
1204,Shanti Kunj,,,nan
1205,Shayam Street,,,nan
1206,South Extension 1,,,nan
1207,South Ganesh Nagar Underpass,,,nan
1208,Sriniwas Puri,,,nan
1209,Street B8,,,nan
1210,Subzi Mandi,,,4784.69
1211,Tagore Park,,,nan
1212,Titarpur Tagore Garden,,,nan
1213,Ujwa,,,4200
1214,Vani Vihar Road,,,nan
1215,Vasant Kunj Bhawani Kunj,,,nan
1216,Vayusenabad,,,nan
1217,Vikram Nagar,,,nan
1218,Vikram Vihar Lajpat Nagar IV,,,nan
1219,Vinoba Puri,,,nan
1220,Vipin Garden,,,nan
1221,Vipin Garden Extension,,,nan
1222,Vishwakarma Colony,,,nan
1223,Vishwas Nagar,,,nan
1224,Wazirpur Industrial Area,,,nan
1225,West End Greens,,,nan
1226,West Sagarpur,,,nan
1227,Zone P II,,,nan
1228,10 Dwarka Sector 9 Road,,,8493.15
1229,103 Sector 21 Road,,,9565.22
1230,103 Sector Road,,,5136.99
1231,109 Sector 21 Road,,,5611.92
1232,119 Sector 6 Road,,,4137.93
1233,137 Sector 13 Main Road,,,6383.95
1234,144 Sector B Road,,,2592.59
1235,164 Sector Road,,,nan
1236,2 Dwarka Sector 16 Main Road,,,nan
1237,2 Palam Village Road,,,nan
1238,22 Sector 13 Main Road,,,12500
1239,25 Feet Road,,,nan
1240,4 Dwarka Sector 9 Road,,,7123.44
1241,4 Sector 4 Road,,,11562.5
1242,43 Sector Road,,,nan
1243,48 Sector 22 Road,,,nan
1244,52 Park Road,,,nan
1245,55 Sector 21 Road,,,nan
1246,55 Sector Road,,,nan
1247,6 Sector 13 Main Road,,,8529.41
1248,65 Sector Road,,,10255.13
1249,67 Sector 22 Road,,,nan
1250,78 Sector 6 Road,,,4790.07
1251,79 Mathura Road,,,nan
1252,79 Noida Link Road,,,3998.71
1253,88 Sector 22 Road,,,4837.43
1254,89 Sector 21 Road,,,nan
1255,89 Sector 22 Road,,,10500
1256,93 Sector 23 Road,,,nan
1257,95 Sector Road,,,nan
1258,A 3 Block,,,nan
1259,A Block JJ Colony,,,nan
1260,A Block Road,,,11785.71
1261,A4 Block Paschim Vihar,,,nan
1262,ABlock,,,nan
1263,Abul Fazal Enclave Part 2 Jami,,,nan
1264,Aerocity New Delhi,,,nan
1265,AGCR Enclave,,,nan
1266,Ahinsa Vihar Road,,,4642.86
1267,Ajay Enclave Extension,,,nan
1268,Ajit Vihar Burari Garhi,,,nan
1269,Ajmeri Gate,,,nan
1270,Ali Vihar Sarita Vihar,,,nan
1271,Ambadeep Building,,,nan
1272,Amber Hai,,,nan
1273,Anand Vihar C Block Road,,,nan
1274,Andheria Mor Village,,,nan
1275,Ansal Satbari,,,nan
1276,APB Garhi,,,nan
1277,Arakashan Road,,,nan
1278,Aram Park,,,nan
1279,Arihant Nagar,,,nan
1280,Arjan Garh,,,nan
1281,Arjun Park Main,,,nan
1282,Arpan Vihar Colony,,,nan
1283,Arya Nagar,,,nan
1284,Arya Nagar Road,,,nan
1285,Ashok Vihar Phase 1 Road,,,nan
1286,Ashoka Niketan,,,nan
1287,Ashoka Road,,,nan
1288,Ashram New,,,nan
1289,Asiad village,,,nan
1290,Asian Games Village Complex,,,nan
1291,Asian Highway 2,,,nan
1292,Aya Nagar Phase 1,,,nan
1293,Aya Nagar Phase 2,,,nan
1294,Azad Market,,,nan
1295,Azad Nagar East Delhi,,,nan
1296,B 3 Block,,,nan
1297,B 5 Block,,,nan
1298,B a b a Colony Main Road,,,nan
1299,B4 Block,,,11764.71
1300,Babar Road,,,nan
1301,Babarpur Road,,,nan
1302,Bagdola Dwarka 8 Sector,,,nan
1303,Bahadurgarh Road,,,nan
1304,Bahapur,,,nan
1305,Banarsi Das Estate,,,nan
1306,Bank Enclave Foot Over Bridge,,,nan
1307,Bapa Nagar,,,nan
1308,Baprola,,,10952.38
1309,Bapu Park Kotla Mubarakpur,,,nan
1310,Bara Hindu Rao,,,nan
1311,Basantpur Road,,,nan
1312,Bhagat Chandra Hospital,,,6800
1313,Bhagwan Nagar,,,nan
1314,Bhagwan Nagar New Delhi,,,nan
1315,Bhagwati Garden Extension,,,4100
1316,Bharthal,,,2285.71
1317,Bihari Colony,,,nan
1318,Bistdari Road,,,nan
1319,Block 18,,,nan
1320,Block 3,,,nan
1321,Block A 2A Asalatpur Village,,,nan
1322,Block A APB Garhi,,,nan
1323,Block A Panchvati Apartment,,,nan
1324,Block A1,,,nan
1325,Block B 1B,,,nan
1326,Block B 7,,,nan
1327,Block B West Patel Nagar,,,nan
1328,Block BG 1,,,nan
1329,Block C 2 Sector 14,,,nan
1330,Block C Uttam Nagar East,,,nan
1331,Block C Vishwas Park,,,nan
1332,Block C3 Janakpuri,,,nan
1333,Block C4H,,,nan
1334,Block CU Uttari Pitampura,,,nan
1335,Block D 13 Phase 2,,,nan
1336,Block DU Uttari Pitampura,,,nan
1337,Block ED Dakshini Pitampura,,,nan
1338,Block G Lajpat Nagar I,,,nan
1339,Block GH10 Sunder Vihar,,,nan
1340,Block GH5,,,7333.33
1341,Block H Guru Nanak Pura,,,nan
1342,Block L Kailash Colony Road,,,nan
1343,Block LD Dakshini Pitampura,,,16666.67
1344,Block LU Uttari Pitampura,,,nan
1345,Block N Vishwakarma Park,,,nan
1346,Block QP Poorvi Pitampura,,,nan
1347,Block S Greater Kailash II,,,nan
1348,Block S Panchsheel Park South,,,nan
1349,Block SD Delhi,,,7588.24
1350,Block SU Uttari Pitampura,,,nan
1351,Block TP Poorvi Pitampura,,,nan
1352,Block U,,,nan
1353,Block VP Poorvi Pitampura,,,nan
1354,Block YP Poorvi Pitampura,,,nan
1355,Block ZP Poorvi Pitampura,,,nan
1356,Bolck B1 Mohan Cooperative Ind,,,nan
1357,Brij Puri,,,nan
1358,Brijwasan,,,nan
1359,Budh Bazar Road,,,nan
1360,Budh Vihar Phase I,,,nan
1361,Budhela Village,,,nan
1362,Bunker Colony,,,nan
1363,Bunker Colony Ashok Vihar IV,,,nan
1364,C Block Greater Kailash,,,nan
1365,C9 C10,,,nan
1366,CC Colony,,,nan
1367,Central Market Lajpat Nagar II,,,nan
1368,CGHS,,,nan
1369,Chander Vihar Nilothi,,,nan
1370,Chandu Park,,,nan
1371,Chatri Wala Kuan,,,nan
1372,Chatta Lal Miya,,,nan
1373,Chauhan Patti,,,nan
1374,Chawri Bazar,,,nan
1375,Church Lane,,,nan
1376,Church Road,,,nan
1377,Clock Tower,,,nan
1378,Colonelganj,,,nan
1379,Commercial Shop Indra Park,,,29761.9
1380,Conductor Colony,,,nan
1381,Connaught Lane,,,nan
1382,CP Block Road,,,nan
1383,CVD Line,,,nan
1384,D B Gupta Road,,,15428.57
1385,D Block,,,nan
1386,D D A Apartment Road,,,nan
1387,D3 Street,,,23333.33
1388,Dabri Palam Road,,,nan
1389,Dadri Main Road,,,nan
1390,Dakshin Puri,,,nan
1391,Dallupura Road,,,nan
1392,Dayalpur Extension,,,nan
1393,Dayanand Vihar,,,nan
1394,DBlock,,,nan
1395,DDA Flats,,,18888.89
1396,DDA Park Nihal Vihar,,,nan
1397,Delhi Gate,,,nan
1398,Delhi Gate Road,,,nan
1399,Delhi Haridwar Road,,,4363.64
1400,Delhi High Court,,,nan
1401,Delhi Metro Blue Line,,,10454.55
1402,Delhi Metropolitan Area Bhawan,,,nan
1403,Delhi Omicron 1A,,,nan
1404,Delhi University,,,nan
1405,Delhi University Ground,,,nan
1406,Dera Village,,,nan
1407,Desh Bandhu Gupta Marg,,,11125
1408,Dharampura,,,nan
1409,Dhaula Kuan,,,nan
1410,Dilshad Colony New Simapuri,,,12241.05
1411,Dr Ambedkar Nagar,,,nan
1412,Durga Ashram Road,,,nan
1413,Durga Vihar New Delhi,,,3571.43
1414,Dwarka 29 Sector,,,3975.63
1415,Dwarka Flyover,,,9714.29
1416,Dwarka sec 21,,,3800
1417,dwarka sec3,,,8333.33
1418,Dwarka Sec6 Market,,,8857.14
1419,Dwarka Sector 12 Pocket 6,,,7500
1420,Dwarka sector 23 Pocket 1,,,10584.62
1421,Dwarka Sector 25,,,3800
1422,Dwarka Sector 9 Road,,,9250
1423,East Block Extension Road,,,nan
1424,East Rohtas Nagar Delhi,,,nan
1425,EBlock,,,nan
1426,Engineers Enclave Harsh Vihar,,,nan
1427,EPDP Colony,,,7764.71
1428,Fajalpur Village,,,11000
1429,Fatehpur Beri,,,nan
1430,Feroze Gandhi Road,,,nan
1431,Forest Lane,,,nan
1432,G T Karnal Road,,,nan
1433,Gafoor Nagar,,,nan
1434,Gali Number 14,,,nan
1435,Gali Number 22,,,nan
1436,Gali Number 9,,,nan
1437,Gandhi Park,,,nan
1438,Ganesh Nagar I South,,,nan
1439,ganesh nagar tilak nagar,,,nan
1440,Ganga Ram Vatika,,,nan
1441,Garhwal Colony,,,nan
1442,Garwali Mohalla,,,nan
1443,Garwali Mohalla Narayan Nagar,,,nan
1444,GBlock,,,nan
1445,Gharoli Dairy Farm,,,10464.43
1446,Gharoli Main Road,,,nan
1447,Gitanjali Enclave,,,nan
1448,Gobindpuri,,,nan
1449,Godavari Apartments,,,11764.71
1450,Gole Market,,,nan
1451,Goyla Vihar,,,13888.89
1452,Grand Trunk Road,,,1582.8
1453,Greater Kailash I Block E,,,nan
1454,Green Park Extension Road,,,nan
1455,GTB Enclave,,,nan
1456,Gulabi Bagh,,,nan
1457,Guru Nanak Nagar Extension,,,nan
1458,Guru Ram Dass Nagar,,,nan
1459,Gurugram Bajghera Nazafgarh Ro,,,nan
1460,H a u z Khas Fort Road,,,nan
1461,Haidarpur,,,nan
1462,Haiderpur,,,nan
1463,Hakikat Nagar,,,nan
1464,Hanuman Road,,,nan
1465,Hardev Nagar Street,,,nan
1466,Hargobind Enclave New Delhi,,,nan
1467,Hari Kothi Lane,,,nan
1468,Harian Basti,,,nan
1469,Harit Vihar,,,nan
1470,Hastsal Vihar Delhi,,,nan
1471,Hauz Khas Block Q,,,nan
1472,Hauz Qazi,,,nan
1473,HU Block,,,nan
1474,Hudson Lane,,,nan
1475,Ignou Road  Sainik Farm,,,nan
1476,Ignou Road Sainik Farm,,,2962.96
1477,IIT Delhi Main Road,,,nan
1478,Independent House Uttam Nagar,,,nan
1479,Inder Enclave,,,10344.83
1480,Inderlok,,,nan
1481,Indira Vihar,,,nan
1482,Industrial Land and Building O,,,nan
1483,Infinity Road,,,nan
1484,Institutional Area,,,nan
1485,Ishwar Colony,,,nan
1486,Iskcon Temple Road,,,nan
1487,ITO,,,nan
1488,J Block,,,nan
1489,Jagdamba Camp,,,11111.11
1490,Jagdamba Vihar West Sagarpur,,,nan
1491,Jai Vihar Najafgarh Road,,,nan
1492,Jain Mandir Road,,,nan
1493,Jain Mohalla Seelampur,,,nan
1494,Janta Colony,,,nan
1495,Janta Vihar,,,nan
1496,Jawahar Park Shalimar Garden,,,nan
1497,jeewan nagar,,,nan
1498,Jharoda,,,nan
1499,Jhilmil Colony Industrial Area,,,nan
1500,Jhilmil Colony Vivek Vihar II,,,nan
1501,Jhulelal Mandir Marg,,,nan
1502,JJ Colony,,,nan
1503,JJ Colony Wazirpur,,,nan
1504,Junapur Village,,,nan
1505,Kadipur,,,nan
1506,Kailash Kunj,,,nan
1507,Kailash Puri,,,nan
1508,Kalyanpuri,,,nan
1509,Kanjhawala Village,,,nan
1510,Kapas Hera Estate,,,3200
1511,Kapashera Estate Road,,,nan
1512,Karawal Nagar Main Road,,,nan
1513,Karkar Duma Delhi,,,nan
1514,Kashmiri Bagh,,,nan
1515,Khajuri Khas,,,nan
1516,Khan Market,,,nan
1517,Khanpur Dhani,,,8431.37
1518,Khari Baoli,,,4878.05
1519,Khari Baoli Road,,,2808.4
1520,Khera Dabar,,,nan
1521,Kingsway Camp,,,nan
1522,Kishan Ganj,,,nan
1523,Kondali Main,,,5625
1524,Kotla,,,nan
1525,Krishna Park Extension,,,nan
