,Neighborhoods,Latitudes,Longitudes,Prices(sqft)
175,Priyadarshini Vihar,,,5849.97
176,Moti Nagar,,,17929.32
177,Gagan Vihar,,,976.27
178,Chilla Sarda Bangar Chilla Sar,,,nan
179,Deoli Khanpur,,,5967.32
180,Noida Road,,,7810.44
181,Ramesh Nagar raja garden bali ,,,nan
182,Sector 13 Rohini,,,20278.48
183,subhash park,,,nan
184,Greater kailash enclave II,,,103591.16
185,Vikas Marg,,,nan
186,Rohini Sector 9,,,21925.72
187,Vishnu Garden,,,2888.89
188,Badarpur Extension Tajpur,,,nan
189,D Block Vikaspuri,,,12357.14
190,Nanhey Park New Delhi,,,6428.57
191,Sector 11 Rohini,,,12541.67
192,Shalimar Bagh,,,11360.16
193,Bindapur,,,6574.19
194,Uttari Pitampura,,,12848.58
195,Gautam Nagar,,,11820.33
196,Block D Sector 8 Dwarka,,,nan
197,Mahipalpur,,,540.75
198,Sewak Park,,,9156.31
199,D Block Lane,,,1215.52
200,jain colony,,,4809.52
201,Sector 25 Rohini,,,7856.87
202,Shastri Nagar,,,11133.19
203,Anand Vihar,,,12941.36
204,dwarka sector 13,,,1050.66
205,Jagdamba Vihar,,,31424.9
206,Dilshad Garden,,,1271.95
207,Dwarka Road,,,10771.6
208,Jagat Ram Park,,,nan
209,Tughlakabad,,,3228.4
210,Aya Nagar,,,554.69
211,New Rajendra Nagar,,,931.82
212,Jaitpur Kalindi Kunj Road,,,nan
213,Sanjay Enclave,,,nan
214,Sector 3 Rohini,,,13571.43
215,Sector-24 Rohini,,,10818.45
216,Rajouri Garden,,,11552.01
217,dwarka sector 19,,,10119.48
218,Kailash hills,,,129.26
219,Ashok Vihar,,,9726.4
220,Bamnoli Dwarka Sector 28,,,599.21
221,Dwarka Sector3,,,12407.7
222,Matiala Extension,,,4706.67
223,Alaknanda,,,16648.1
224,Lalita Park Foot Over Bridge,,,63.58
225,Sainik Nagar Mansa Ram Park,,,4888.89
226,Jaitpur Extension Part II New ,,,nan
227,Mayur Vihar Phase 2,,,10768.05
228,Mithapur,,,nan
229,Pamposh Enclave,,,nan
230,Chanakya Puri,,,nan
231,Chhattarpur Enclave Phase1,,,4351.47
232,DLF Ankur Vihar,,,6451.85
233,Friends Colony,,,nan
234,Sector 1 Dwarka,,,10330.81
235,Sector-D Vasant Kunj,,,16101.29
236,Civil Lines,,,17656.97
237,greater kailash Enclave 1,,,nan
238,Kaushambi,,,7661.32
239,New Ashok Nagar near metro,,,4705.88
240,Tigri,,,12698.25
241,Sector 12 Dwarka New Delhi,,,10770.12
242,Sector 4,,,13884.31
243,Madanpur Khadar,,,nan
244,South Ex,,,20631.31
245,Model Town,,,13747.54
246,Dwarka 11 Sector,,,10999.26
247,Govind Puri,,,11886.11
248,Jamia Nagar Batla House,,,nan
249,Khadda Colony,,,nan
250,Rohini sector 16,,,14209.67
