,Neighborhoods,Districts,Latitudes,Longitudes
114,Kalkaji,South Delhi,28.536620000000003,77.26094
115,Khanpur,South Delhi,28.509629999999998,77.23109000000001
116,Khirki Village,South Delhi,28.5316,77.22055
117,Kotla Mubarakpur,South Delhi,28.57435,77.22419000000001
118,Lajpat Nagar,South Delhi,28.57027,77.24701
119,Lodi Colony,South Delhi,28.584770000000002,77.22535
120,Maharani Bagh,South Delhi,28.57224,77.26358
121,Malviya Nagar,South Delhi,28.53394,77.20702
122,Mehrauli,South Delhi,28.5209,77.18011
123,Neeti Bagh,South Delhi,,
124,Nehru Place,South Delhi,28.55078,77.25549000000001
125,Netaji Nagar,South Delhi,28.57747,77.18517
126,New Friends Colony,South Delhi,28.578129999999998,77.27
127,Nizamuddin West,South Delhi,28.58887,77.24713
128,Okhla,South Delhi,28.53248,77.27839
129,Pulpehaladpur,South Delhi,,
130,Safdarjung Enclave,South Delhi,28.564840000000004,77.19468
131,Sainik Farm,South Delhi,28.50549,77.21414
132,Saket,South Delhi,28.524079999999998,77.20676999999999
133,Sangam Vihar,South Delhi,28.498040000000003,77.24302
134,Sarita Vihar,South Delhi,28.53513,77.29557
135,Sarojini Nagar,South Delhi,28.5756,77.19365
136,Sarvodaya Enclave,South Delhi,28.53838,77.19986
137,Shahpur Jat,South Delhi,28.54855,77.21394000000001
138,Siri Fort,South Delhi,28.54992,77.21544
139,South Extension,South Delhi,28.5625,77.21517
140,Sriniwaspuri,South Delhi,28.565440000000002,77.2482
141,Sundar Nagar[1],South Delhi,28.600040000000003,77.24725
142,Tughlaqabad,South Delhi,28.52182,77.2578
143,Badarpur,South Delhi,28.50739,77.30346999999999
144,"Dabri, New Delhi",South West Delhi,28.607609999999998,77.08714
145,Dwarka Sub City,South West Delhi,28.58995,77.04004
146,Delhi Cantonment,South West Delhi,28.6341,77.2169
147,Dhaula Kuan,South West Delhi,28.59875,77.14336999999999
148,Ghitorni,South West Delhi,28.498309999999996,77.13597
149,Inderpuri,South West Delhi,28.62803,77.14505
150,Kirby Place,South West Delhi,-33.71783,151.1746
151,Kishangarh Village,South West Delhi,28.518790000000003,77.16729000000001
152,Mahipalpur,South West Delhi,28.54842,77.13637
153,Moti Bagh,South West Delhi,28.58363,77.16474000000001
154,Munirka,South West Delhi,28.55505,77.17132
155,Najafgarh,South West Delhi,28.6251,76.99741
156,Naraina,South West Delhi,28.631490000000003,77.13714
157,Palam,South West Delhi,28.591070000000002,77.09118000000001
158,Rama Krishna Puram,South West Delhi,28.5677,77.18302
159,Rajokri,South West Delhi,28.519379999999998,77.12127
160,Rangpuri,South West Delhi,28.53602,77.1224
161,Sarojini Nagar,South West Delhi,28.575259999999997,77.18491999999999
162,Sagar Pur,South West Delhi,28.598979999999997,77.09765
163,Vasant Kunj,South West Delhi,28.53152,77.15021
164,Vasant Vihar,South West Delhi,28.564940000000004,77.16131
165,Ashok Nagar,West Delhi,28.63462,77.10181
166,Bali Nagar,West Delhi,28.652890000000003,77.12947
167,Dhaula Kuan,West Delhi,28.752409999999998,77.14865999999999
