,Neighborhoods,Latitudes,Longitudes,Prices(sqft)
531,Ambica Vihar,28.7292,77.27909,9615.38
532,Ashirwad,,,8750.0
533,Azad Apartments,28.54581,77.18238,25000.0
534,Baldev Park East,28.64802,77.28698,7812.5
535,Bees Sutri Harijan Basti,28.49209,77.14341,1583.33
536,Ber Sarai,28.54954,77.18168,18750.0
537,CD Block Dakshini Pitampura,28.70527,77.13867,25000.0
538,DCM School Marg,28.65788,77.19612,6478.21
539,Devli Extention,28.63811,77.27475,2430.56
540,Devli Extention Deoli Gaon Nai,28.50617,77.23225,3143.6
541,DLF City Phase 3 Road,28.68703,77.18257,315.83
542,Ghitorni Village South Delhi,28.50114,77.14522,17500.0
543,GT Road,28.67168,77.23615,1441.49
544,Gulab Bagh,28.62043,77.04942,566.67
545,IGI Airport,28.55457,77.09139,4826.07
546,Jasola Sector 8,28.57299,77.1642,10833.33
547,Kalkaji Flyover,28.55027,77.26366,12534.18
548,Kalyan Puri Road,28.61888,77.3155,4920.63
549,Keshavpuram,28.68802,77.15866,8333.33
550,Khushi Ram Park Param Puri,28.6156,77.05136,5000.0
551,Kishangarh Village New Delhi,28.51879,77.16729,5617.98
552,Lodhi Colony,28.58477,77.22535,12000.0
553,Manglapuri Village,28.58776,77.08704,36638.98
554,Mathura Road,28.60487,77.24037,13750.0
555,Mayur Vihar Pocket F,,,47435.48
556,Mianwali Nagar Peera Garhi,,,10400.0
557,Mirpur Turk,28.71232,77.27261,4483.43
558,Moti Bagh South,28.58169,77.174,4545.45
559,Munirka Flyover,28.56146,77.16839,10296.3
560,Munirka Marg,28.55817,77.15993,11273.33
561,Pant Nagar,28.58366,77.24463,3264.76
562,Pind Wala Khurd Village,,,65573.77
563,Pocket 7 Sector D,28.58368,77.07362,11764.71
564,Pocket 8 Sector C,28.73562,77.08824,16666.67
565,Pratap Khand,,,6209.15
566,Sadh Nagar Palam Colony,28.75213,77.19733,3823.53
567,Sandesh Vihar,28.69247,77.14358,18518.52
568,Sector 108,28.53094,77.14139,5624.3
569,Sector 16A Dwarka,28.56457,77.05111,6269.59
570,Sector 5,28.79686,77.0688,8758.77
571,Sector 7,28.58519,77.06797,9485.71
572,Sector B Pocket 10,28.53381,77.15291,1947.62
573,Sector17 Rohini,28.71306,77.11937,7995.09
574,Shaheen Bagh New Delhi,28.55075,77.29963,4896.42
575,Vrindavan Road,,,4468.12
576,West Enclave,28.69079,77.10145,10752.68
577,Yamuna Road,28.74681,77.12703,10505.63
578,Delhi Cantt,28.59152,77.12946,527.04
579,102 Sector 21 Road,28.51322,77.06822,3389.42
580,127 Sector 23 Road,28.72874,77.08519,13745.7
581,91 Sector 23 Road,28.72874,77.08519,41.07
582,Abul Fazal Enclave Part 2 New ,28.5611,77.29306,4555.56
583,Antriksh Bhawan,,,3542.37
584,Block JP Poorvi Pitampura,28.70368,77.13933,9988.01
585,Block UU Uttari Pitampura,28.71138,77.14267,7781.65
586,Chirag Dilli,28.53988,77.22886,3500.0
587,Commercial Shop Karol Bagh,28.65046,77.18873,16650.0
588,Commonwealth Games Village,,,15476.19
589,E Block Preet Vihar,28.63617,77.29251,13263.42
590,Experion Heartsong,,,6303.13
591,Gulabhi Bagh Om Vihar,28.61793,77.05011,3600.0
592,Gurgaon Dabri Road,,,4585.51
593,Jammu Delhi Road,28.69598,77.21327,6250.0
594,Janakpuri B1 Market,28.63434,77.08976,9444.44
595,Kapas Hera Extension,28.52601,77.08477,1866.67
596,Karampura West,28.66476,77.14869,13513.51
597,KG 2 Road,,,8801.96
598,Kundli Manesar Palwal Expressw,,,53125.0
599,LIG Flats,28.63266,77.11928,8819.93
600,Mandakini Enclave,,,16388.89
601,Mandi Road,28.45854,77.14769,5800.0
602,Mount Kailash Apartment,28.55333,77.24662,18333.33
603,Narmada Apartments,,,13462.57
604,Netaji Subash Marg,28.6447,77.24041,7826.09
605,Noor Nagar,28.61606,77.07128,4266.67
606,Partap Nagar,28.67083,77.1943,5000.0
607,Paschim Vihar A 1 Block,28.66676,77.08605,8300.0
608,Pocket 11 Sector B,28.83255,77.11042,16000.0
609,Pocket 2 Sector D,28.83767,77.10653,13365.38
610,Pocket 9 Sector C,28.51277,77.17021,16666.67
611,Residential Flat Mehrauli,28.5209,77.18011,3370.79
612,Rishi Nagar,28.57188,77.22409,6222.22
613,Saiyad Ul Ajaib Village,,,3777.78
614,Salempur Majra,28.77454,76.99955,18750.0
615,Sector 1,28.78797,77.04764,8674.1
616,Sector 10 Pocket 1,28.72052,77.13412,7250.0
617,Sector 12 Dwarka Pocket 2,28.59949,77.06691,8000.0
618,Sector 21 Road,28.51322,77.06822,5263.16
619,Sector 30,28.75621,77.08313,4603.58
620,Sector4pkt 1,28.56042,77.17863,9233.81
621,Shahabad Mohammadpur,28.56639,77.06685,4266.67
622,Shankar Vihar,28.5664,77.14033,12306.61
623,Subzi Mandi,28.67357,77.2036,4784.69
624,Ujwa,28.57479,76.90873,4200.0
625,10 Dwarka Sector 9 Road,28.56368,77.05426,8493.15
626,103 Sector 21 Road,28.51322,77.06822,9565.22
627,103 Sector Road,,,5136.99
628,109 Sector 21 Road,28.51322,77.06822,5611.92
629,119 Sector 6 Road,28.56326,77.17102,4137.93
630,137 Sector 13 Main Road,28.72355,77.12588,6383.95
631,144 Sector B Road,,,2592.59
632,22 Sector 13 Main Road,28.72203,77.12369,12500.0
633,4 Dwarka Sector 9 Road,28.57972,77.06684,7123.44
634,4 Sector 4 Road,28.56008,77.17657,11562.5
635,6 Sector 13 Main Road,28.72203,77.12369,8529.41
636,65 Sector Road,,,10255.13
637,78 Sector 6 Road,28.56371,77.17186,4790.07
638,79 Noida Link Road,28.59714,77.29228,3998.71
639,88 Sector 22 Road,28.55667,77.05822,4837.43
640,89 Sector 22 Road,28.55667,77.05822,10500.0
641,A Block Road,28.69938,77.11846,11785.71
642,Ahinsa Vihar Road,,,4642.86
643,B4 Block,28.64159,77.28762,11764.71
644,Baprola,28.63923,77.01252,10952.38
645,Bhagat Chandra Hospital,28.69059,77.26648,6800.0
646,Bhagwati Garden Extension,28.62349,77.02711,4100.0
647,Bharthal,28.5438,77.05104,2285.71
648,Block GH5,28.66457,77.0832,7333.33
649,Block LD Dakshini Pitampura,28.70527,77.13867,16666.67
650,Block SD Delhi,28.63074,77.22088,7588.24
651,Commercial Shop Indra Park,28.59741,77.10073,29761.9
652,D B Gupta Road,28.64297,77.20891,15428.57
653,D3 Street,28.56422,77.15411,23333.33
654,DDA Flats,28.69056,77.32461,18888.89
655,Delhi Haridwar Road,,,4363.64
656,Delhi Metro Blue Line,28.60088,77.08278,10454.55
657,Desh Bandhu Gupta Marg,28.59829,77.05145,11125.0
658,Dilshad Colony New Simapuri,28.68946,77.32276,12241.05
659,Durga Vihar New Delhi,28.72258,77.08747,3571.43
660,Dwarka 29 Sector,28.59544,77.06714,3975.63
661,Dwarka Flyover,,,9714.29
662,Dwarka sec 21,28.5841,77.05874,3800.0
663,dwarka sec3,28.59226,77.06717,8333.33
664,Dwarka Sec6 Market,28.58995,77.04004,8857.14
665,Dwarka Sector 12 Pocket 6,28.59928,77.01828,7500.0
666,Dwarka sector 23 Pocket 1,28.57972,77.06684,10584.62
667,Dwarka Sector 25,28.5846,77.05916,3800.0
668,Dwarka Sector 9 Road,28.58684,77.06325,9250.0
669,EPDP Colony,28.69029,77.17253,7764.71
670,Fajalpur Village,28.62966,77.29442,11000.0
671,Gharoli Dairy Farm,28.62014,77.32409,10464.43
672,Godavari Apartments,,,11764.71
673,Goyla Vihar,28.57981,77.02165,13888.89
674,Grand Trunk Road,28.84209,77.12739,1582.8
675,Ignou Road Sainik Farm,28.50549,77.21414,2962.96
676,Inder Enclave,28.70659,77.04703,10344.83
677,Jagdamba Camp,28.51998,77.30729,11111.11
678,Kapas Hera Estate,28.52601,77.08477,3200.0
679,Khanpur Dhani,28.71047,77.2793,8431.37
680,Khari Baoli,28.65726,77.22284,4878.05
681,Khari Baoli Road,28.65773,77.21578,2808.4
682,Kondali Main,28.61398,77.32616,5625.0
683,Link Road IP Extension,28.66415,77.32104,5483.87
684,Lodhi Road Quarters,28.58964,77.21523,9523.81
685,Mahaveer Nagar Kotla Mubarakpu,,,24429.97
686,Mahipalpur Rangpuri Road,28.54308,77.12337,2820.51
687,Mahrauli,28.5209,77.18011,3518.52
688,Masjid Moth Phase 2,28.54051,77.23386,10769.23
689,Meenakshi Garden,28.63956,77.1048,12213.74
690,Nangloi Saiyed Village,28.66105,77.08286,5491.7
691,Nathupur Road,28.7805,77.17982,10000.0
692,Nelson Mandela Marg,28.54433,77.15966,20000.0
693,New Govindpura,28.53509,77.26512,6666.67
694,New Krishna Nagar,28.65661,77.28686,5000.0
695,New Pragatesheel Apartment,28.72401,77.12991,7586.21
696,Northern Peripheral Road,,,6372.09
697,Om Vihar Extn Om Vihar,28.6195,77.05088,4943.75
698,Om Vihar Phase 4,28.62668,77.05124,4750.0
699,Paryatan Vihar,,,9671.18
700,Pocket 10 Sector B,28.8321,77.10784,18000.0
701,Pocket 6 Sector 2,28.69921,77.10198,12500.0
702,Pocket 9,28.54197,77.29319,16250.0
703,Pocket 9 Sector B,28.83228,77.10731,8181.82
704,Pocket A Sector 17 Dwarka,28.59944,77.01804,8181.82
705,Police Lines,28.69885,77.19952,18181.82
706,Pontoon Bridge,,,80000.0
707,Prime Chowk,28.60739,77.29101,8823.53
708,Puth Khurd Village,28.77124,77.04922,3428.57
709,Ram Colony Chattarpur,28.45371,77.1835,5555.56
710,Rampura Marg,28.68813,77.15866,9259.26
711,Residential Flat Dharam Pura,28.66641,77.26251,3259.81
712,Residential Flat East of Kaila,28.55633,77.24909,11555.56
713,Residential Flat Pocket A,28.63385,77.32333,2800.0
714,Residential Flat Pocket D,28.619,77.29601,2777.78
715,Residential Flat Uttam Nagar,28.6174,77.05281,3777.78
716,Residential Floor Drayaganj,,,5149.79
717,Residential Floor East Ram Nag,,,5288.16
718,Residential Floor Om Vihar,28.61793,77.05011,3442.13
719,Residential Floor Ram Nagar,28.68228,77.29588,3790.38
720,Residential Floor Tilak Nagar,28.63739,77.10269,4582.82
721,Residential Floor Uttam Nagar,28.6174,77.05281,4382.47
722,Residential FloorBlockA sector,,,841.24
723,Residential FloorPaschim Vihar,,,8131.84
724,Residential House Uttam Nagar,28.6174,77.05281,2812.5
725,Road Number 1,28.62067,77.32227,6646.97
726,Rocky Area,,,3333.33
727,Sagarpur Palam Road,28.59046,77.08189,22222.22
728,SEC 6 POCKET 1,28.54215,77.29357,8750.0
729,Sector 112,28.53094,77.14139,3188.01
730,Sector 12 Pocket 7,28.59928,77.01828,8166.67
731,Sector 13,28.72203,77.13236,8750.0
732,Sector 17,28.74401,77.12133,8421.05
733,Sector 18 A,28.5695,77.0266,7500.0
734,Sector 18 Rohini,28.71306,77.11937,8947.37
735,Sector 18B Road,28.58396,77.03304,9642.86
736,Sector 21,28.55662,77.06556,4200.0
737,Sector 21 Dwarka New Delhi,28.5841,77.05874,8452.38
738,Sector 23 Road,28.72874,77.08519,9393.94
739,Sector 25 Dwarka,28.5846,77.05916,4368.42
740,Sector 37,28.53094,77.14139,5241.64
741,Sector B,28.8379,77.11727,17142.86
742,Shankar Garden,28.62936,77.1911,10540.54
743,Sheikh Sarai Inner Lane,28.53501,77.22145,16206.9
744,Siddharth Enclave,28.57417,77.25915,12500.0
745,Siddhartha Enclave,28.57417,77.25915,11818.18
746,Siddhartha Extension,28.58124,77.26245,9200.0
747,Suraj Vihar,28.6125,77.03175,5625.0
748,Sushant Vihar,28.77388,77.18114,3499.69
749,Telibara,28.66887,77.29016,5333.33
750,Timarpur,28.70079,77.22117,916.39
751,V e e r Apartments Road,28.54581,77.18238,8387.1
752,Vasant Enclave Road,28.57308,77.16,12000.0
753,Vijay Mandal Enclave,,,12500.0
754,Vikaspuri Flyover,28.56544,77.2482,7222.22
