,Neighborhoods,Latitudes,Longitudes,Prices(sqft)
122,param puri,28.6156,77.05136,4600.0
123,Krishna Nagar,28.65545,77.28337,7919.11
124,Sukhdev Vihar,28.55513,77.27466,16114.22
125,Lajpat Nagar III,28.5647,77.24096,5786.62
126,Tilak Nagar,28.64089,77.08923,7827.27
127,dwarka sector 12,28.59544,77.06714,1282.67
128,Uttam Nagar Nanhey Park,,,4394.34
129,Vasundhara Enclave,28.60016,77.31663,12548.67
130,Sector-7 Rohini,28.70918,77.11784,12545.45
131,Lajpat Nagar II,28.57192,77.23774,22222.22
132,Poorvi Pitampura,28.70459,77.14297,11505.54
133,Mayur Vihar,28.60574,77.29383,19909.45
134,Duggal Colony,28.51314,77.23129,434.19
135,Vikas Puri,28.64464,77.07511,12997.71
136,Jawahar Park,28.5079,77.22654,3780.69
137,Sector-18 Dwarka,28.56305,77.05974,11428.96
138,vikaspuri,28.64464,77.07511,15251.96
139,Hauz Khas Enclave,28.54798,77.20297,22413.79
140,South Delhi,,,7477.94
141,Uttam Nagar East,28.6174,77.05281,5158.16
142,South Extension,28.5625,77.21517,34953.84
143,Sector22 Rohini,28.73599,77.10284,17952.04
144,Lajpat Nagar IV,28.56639,77.24867,15176.97
145,Patparganj,28.62948,77.30766,15415.62
146,Govindpuri,28.53509,77.26512,6550.4
147,Sector 17 Dwarka,28.55751,77.05727,10957.27
148,Rama Park,28.62072,77.03523,5778.19
149,Anand Lok,28.55748,77.21885,49979.18
150,IGNOU Road,28.51549,77.20556,3737.78
151,Uttam Nagar Subhash Park Extn,28.60954,77.05106,4897.96
152,Palam,28.59107,77.09118,9957.71
153,Okhla,28.53248,77.27839,8486.43
154,Delhi Meerut Expressway,28.59279,77.16314,11334.59
155,Ganesh Nagar,28.69955,77.29174,6273.84
156,Safdarjung,28.56583,77.19907,24461.76
157,Mayur Vihar Phase 3,28.61125,77.33407,10990.0
158,Kiran Garden,28.61856,77.04902,4888.89
159,Tagore Garden Extension,28.65178,77.11616,8149.27
160,Matiala,28.61792,77.04685,4941.14
161,Priyadarshini Vihar,28.64181,77.27953,5849.97
162,Moti Nagar,28.65673,77.12961,17929.32
163,Gagan Vihar,28.64506,77.29553,976.27
164,Deoli Khanpur,28.50963,77.23109,5967.32
165,Noida Road,,,7810.44
166,Sector 13 Rohini,28.71306,77.11937,20278.48
167,Greater kailash enclave II,,,103591.16
168,Rohini Sector 9,28.72203,77.12369,21925.72
169,Vishnu Garden,28.65112,77.10207,2888.89
170,D Block Vikaspuri,28.63737,77.063,12357.14
171,Nanhey Park New Delhi,28.61562,77.04721,6428.57
172,Sector 11 Rohini,28.71306,77.11937,12541.67
173,Shalimar Bagh,28.71423,77.15744,11360.16
174,Bindapur,28.6137,77.06901,6574.19
175,Uttari Pitampura,,,12848.58
176,Gautam Nagar,28.55977,77.21294,11820.33
177,Mahipalpur,28.54842,77.13637,540.75
178,Sewak Park,28.70858,77.03519,9156.31
179,D Block Lane,28.72652,77.24679,1215.52
180,jain colony,28.75304,77.24581,4809.52
181,Sector 25 Rohini,28.73469,77.08824,7856.87
182,Shastri Nagar,28.64753,77.27082,11133.19
183,Anand Vihar,28.65357,77.31374,12941.36
184,dwarka sector 13,28.56305,77.05974,1050.66
185,Jagdamba Vihar,28.51998,77.30729,31424.9
186,Dilshad Garden,28.67904,77.31476,1271.95
187,Dwarka Road,28.60288,77.04908,10771.6
188,Tughlakabad,28.51859,77.27589,3228.4
189,Aya Nagar,28.47177,77.12966,554.69
190,New Rajendra Nagar,28.63511,77.1791,931.82
191,Sector 3 Rohini,28.73552,77.10285,13571.43
192,Sector-24 Rohini,28.73599,77.10284,10818.45
193,Rajouri Garden,28.64563,77.12209,11552.01
194,dwarka sector 19,28.56305,77.05974,10119.48
195,Kailash hills,28.55748,77.25883,129.26
196,Ashok Vihar,28.69038,77.1761,9726.4
197,Bamnoli Dwarka Sector 28,28.5404,77.02988,599.21
198,Dwarka Sector3,28.5834,77.06076,12407.7
199,Matiala Extension,28.61792,77.04685,4706.67
200,Alaknanda,28.52568,77.25325,16648.1
201,Lalita Park Foot Over Bridge,28.63062,77.27507,63.58
202,Sainik Nagar Mansa Ram Park,28.61793,77.03733,4888.89
203,Mayur Vihar Phase 2,28.61795,77.30031,10768.05
204,Chhattarpur Enclave Phase1,28.49851,77.18893,4351.47
205,DLF Ankur Vihar,28.7351,77.26831,6451.85
206,Sector 1 Dwarka,28.56305,77.05974,10330.81
207,Sector-D Vasant Kunj,,,16101.29
208,Civil Lines,28.67672,77.21767,17656.97
209,Kaushambi,28.64057,77.31701,7661.32
210,New Ashok Nagar near metro,28.5921,77.3033,4705.88
211,Tigri,28.51022,77.23745,12698.25
212,Sector 12 Dwarka New Delhi,28.59544,77.06714,10770.12
213,Sector 4,28.60281,77.04903,13884.31
214,South Ex,28.5685,77.21985,20631.31
215,Model Town,28.70501,77.18951,13747.54
216,Dwarka 11 Sector,28.56305,77.05974,10999.26
217,Govind Puri,28.65156,77.29002,11886.11
218,Rohini sector 16,28.71306,77.11937,14209.67
219,rohini sector 5,28.73552,77.10285,5833.33
220,Uttam Nagar Vani Vihar,,,4375.0
221,Devli,28.50135,77.22856,9862.5
222,Paryavaran Complex Main,,,4250.28
223,Bamnoli Sector 28 Dwarka,28.5404,77.02988,5172.84
224,Nangloi,28.67489,77.06128,774.83
225,Nirman Vihar,28.63401,77.28867,11839.1
226,Shanti Park Dwarka,28.5949,77.06056,8102.68
227,Kirti Nagar,28.64821,77.14273,21503.17
228,Raju Park,28.68217,77.13391,4463.84
229,Santnagar,28.74324,77.19949,4428.63
230,IP Extension,28.62932,77.30009,11762.02
231,Loni,28.69901,77.30468,5651.87
232,Dwarka Sector 11 Pocket 4,28.5944,77.04831,53589.26
233,Kamla Nagar,28.68377,77.20163,293.63
234,North Campus,28.68831,77.20944,29831.19
235,Om Vihar Extn Delhi,28.6195,77.05088,4662.86
236,Sector 12 Dwarka Pocket 3,28.59397,77.04164,10128.78
237,Sector-14 Rohini,28.71306,77.11937,15131.02
238,Westend,28.57459,77.16143,7702.11
239,Ashok Nagar,28.63462,77.10181,6884.79
240,Dabri,28.60761,77.08714,10802.96
241,east delhi,42.30019,-74.89429,12340.89
242,Pandav Nagar,28.61458,77.27574,1457.06
243,Sheikh Sarai,28.53501,77.22145,14514.72
244,Block J,28.63896,77.17901,5925.93
245,Rohini sector 24,28.73599,77.10284,1017.32
246,Arjun Nagar,28.56139,77.19837,8287.29
247,Dwarka 10 Sector,28.56188,77.05736,536.84
248,Mahavir Enclave Bengali Colony,,,555.11
249,Mandawali,28.63016,77.2967,4646.3
250,Rama Park Block B,28.62257,77.03661,6271.6
251,Sector-8 Rohini,28.7357,77.10258,13703.7
252,Bank Enclave,28.6415,77.2744,1462.5
253,Jasola Vihar Sector 8 Road,28.54203,77.29332,9322.82
254,Dwarka sec 6,28.58684,77.06325,8811.73
255,Gurgaon Delhi Expressway,28.53156,77.05336,9344.21
256,Gurudwara Road,28.76557,77.13713,5371.54
257,L Zone Delhi,28.63096,77.21722,4374.09
258,MG Road Ghitorni,28.49101,77.14209,1927.29
259,Sahibabad,28.8252,77.06962,7497.31
260,Sector 21 Dwarka,28.5841,77.05874,4371.43
261,Sector 15 Rohini,28.71306,77.11937,10879.63
262,Main Rajapuri Road,28.60973,77.05874,3333.33
263,Narela,28.8398,77.07696,7274.73
264,Nawada Extension,28.62337,77.04356,5555.56
265,Sadulajab,28.51899,77.19953,3950.62
266,Vasant Kunj Enclave,28.54069,77.13053,12156.71
267,Mansarovar garden,28.64202,77.13054,7121.88
268,Naraina,28.63149,77.13714,6666.67
269,Saraswati Vihar,28.69483,77.13039,8357.14
270,SECTOR 18 DWARKA NEW DELHI,28.56305,77.05974,9227.84
271,Dwarka Sector 7,28.58645,77.07393,8827.84
272,Sector 28 Dwarka,28.58483,77.05935,4467.46
273,Sector-18 Rohini,28.71306,77.11937,1243.7
274,Connaught Place,28.63394,77.21969,44218.75
275,Abul Fazal Enclave Jamia Nagar,28.5534,77.29638,5128.21
276,Begampur Park,28.73262,77.05213,6812.9
277,CR Park Main Road,28.67209,77.15526,16444.44
278,Geeta Colony,28.6532,77.27138,10402.22
279,Kalindi Kunj Road,28.56099,77.28164,18218.41
280,Rajpur Khurd Village,28.49476,77.19034,6985.42
281,Karampura,28.66476,77.14869,15708.28
282,Chattarpur Enclave,28.49365,77.18464,3510.8
283,Dwarka 8 Sector,28.58684,77.06325,7444.44
284,DWARKA SEC 23,28.58444,77.05902,8463.06
285,Fateh Nagar,28.63147,77.10316,9411.76
286,Freedom Fighters Enclave,28.51065,77.20081,4288.07
287,Sector 18 Sector 18A Dwarka,,,10344.15
288,Shivaji Marg,28.65892,77.121,15741.67
289,Vijay Nagar,28.60193,77.07298,7148.67
290,Kapashera,28.52601,77.08477,5486.11
291,Dwarka Sub City,28.58995,77.04004,9509.9
292,East Patel Nagar,28.64817,77.17834,8000.0
293,Nawada Sainik Nagar,28.61706,77.04095,5454.55
294,SECTOR 7 DWARKA NEW DELHI,28.58684,77.06325,10737.49
295,Indraprastha,28.60089,77.25581,11551.25
296,Krishna Park Jawahar Park,,,3720.97
297,Mundka,28.6915,77.03159,3672.24
298,Sector-23 Rohini,28.7643,77.09231,8428.82
299,Sector 16B Dwarka,28.56527,77.05255,8516.23
300,Alaknanda DDA Flats Road,28.532,77.25421,18480.2
301,Freedom Fighter Enclave Road,28.51065,77.20081,4253.41
302,Rajpur,28.4957,77.18936,4232.22
303,Shakarpur,28.62716,77.2794,6250.0
304,Mandi,28.44771,77.14433,4636.84
305,Sector 26 Dwarka,28.58467,77.05922,5243.94
306,Mansarover Garden,28.64202,77.13054,1000.0
307,Shakti Nagar,28.67557,77.16191,22370.68
308,Som Vihar,28.5711,77.17283,28333.33
309,devli export enclave,28.60399,77.07726,3973.46
310,Hastsal,28.63346,77.0565,5833.33
311,Rajapuri East Uttam Nagar,28.60346,77.05603,4509.8
312,Rajinder Nagar,28.64141,77.18537,22222.22
313,Sector 23,28.56516,77.05434,8605.71
314,Sector-B Vasant Kunj,28.52618,77.16271,16824.4
315,SULTANPUR,28.50055,77.15862,4761.54
316,Tri Nagar,28.67638,77.15542,11870.38
317,Deoli Gaon Nai Basti,28.56017,77.29587,317.63
318,Gulmohar Enclave,28.55728,77.2098,21808.71
319,Kalkaji Govindpuri,28.53592,77.25732,9322.92
320,Khera Khurd,28.77645,77.09974,9125.0
321,Manglapuri,28.59,77.08599,9453.97
322,PANCHSHEEL VIHAR,28.7099,77.09114,4814.81
323,Sector 19B,28.57423,77.04362,15555.34
324,Sector 29 Dwarka,28.5845,77.0599,4528.44
325,Sector 9 Rohini,28.72203,77.12369,22768.67
326,Shahpur Jat,28.54855,77.21394,7333.33
327,Bakkarwala,28.64361,77.01653,7500.0
328,Bank Colony,28.50012,77.23017,3160.49
329,Kotla Mubarakpur,28.57435,77.22419,19978.63
330,Malka Ganj,28.67722,77.20921,77564.1
331,Razapur Khurd,28.63968,77.02907,4540.28
332,Vasant Kunj Marg,28.51156,77.16667,15449.02
333,Vivek Vihar,28.66874,77.31896,11733.09
334,Bank Colony Deoli,28.50778,77.23718,2888.89
335,Bhagwati Garden,28.62349,77.02711,4670.0
336,Gharoli,,,10487.18
337,Kalkaji Extension,28.5287,77.2625,10735.93
338,KarKardooma,28.65056,77.29965,7458.85
339,Noida Sector 52,28.58638,77.36743,6371.58
340,Sudarshan Park,28.66017,77.13598,11158.02
341,Chirag Delhi,28.53988,77.22886,11406.25
342,D K Road,28.63343,77.04028,11309.94
343,DWARKA SECTOR 9,28.58684,77.06325,10563.29
344,Madhu Vihar,28.60409,77.06338,11541.67
345,Munirka Vihar,28.55374,77.16761,14117.65
346,Pocket 2 Sector 6 Dwarka,28.59928,77.01828,10415.58
347,Zakir Nagar,28.56754,77.27978,4916.67
348,Gujranwala Town,28.70037,77.19371,10146.1
349,Kalyan Vihar,28.69184,77.19661,3589.74
350,Pipal Wala Road,28.6246,77.03922,4612.04
351,Sector 19,28.57423,77.04362,12156.18
352,South Anarkali Delhi,28.64928,77.28872,11111.11
353,Sunlight Colony,28.57511,77.25729,6857.14
354,Ashok Vihar Phase-1,28.68412,77.1717,8641.98
355,dwarka sector 17,28.55751,77.05727,8658.35
356,Inderpuri,28.62803,77.14505,661.4
357,Old Delhi,28.65435,77.23259,10747.13
358,Sector 4 Rohini,28.73552,77.10285,9500.0
359,Vinod Nagar North,28.62637,77.30297,5776.38
360,WEA,,,18607.86
361,Alaknanda Gangotri Enclave,28.52568,77.25325,14507.67
362,Ashram,28.57304,77.25902,14973.26
363,Baljeet Nagar,28.65649,77.16064,2921.35
364,Budh Vihar,28.7077,77.31077,2555.56
365,Devli Nai Basti,28.5039,77.23175,416.67
366,Govindpura,28.53509,77.26512,5873.02
367,Gurgaon Faridabad Road,28.45658,77.12134,6126.01
368,Kalkaji Main,28.54045,77.25761,14000.0
369,Near Dwarka sec 21 metro stati,28.58995,77.04004,5101.33
370,Roop Nagar,28.68372,77.19747,27247.96
371,Sirifort Road,28.55518,77.22324,38888.89
372,Subhash Park Extn New Delhi,28.67821,77.28161,4400.0
373,Vishwas Park Extn Uttam Nagar,28.60185,77.05897,3500.0
374,Wazirabad,28.7328,77.22439,4117.65
375,Babarpur,28.69773,77.28648,7222.22
376,Bali Nagar,28.65289,77.12947,4444.44
377,Bamnoli,28.5404,77.02988,735.29
378,Bhalswa,28.7373,77.16849,3461.54
379,dda flat,28.70162,77.1329,9622.96
380,Dwarka Sector 11 Pocket 3,28.59928,77.01828,5630.64
381,E 2 Vasant Kunj,28.52157,77.16788,5641.03
382,Madangir,28.52188,77.2341,441.92
383,Masjid moth,28.56349,77.21709,14571.43
384,Mathura Road Sarita Vihar,28.5314,77.28725,9105.22
385,Meera Bagh,28.65843,77.08697,8346.59
386,Netaji Subhash Place,28.69313,77.15059,20357.14
387,New Kondli,28.6034,77.33287,1087.99
388,Sector 11 Dwarka Pocket 2,28.59937,77.07099,8394.06
389,Sector 15A,28.59995,77.08722,18636.36
390,Swasthya Vihar,28.64093,77.28793,14204.55
391,Abul Fazal Enclave,28.5534,77.29638,3466.67
392,Central Secretariat,28.6286,77.2507,16216.22
393,Delhi Apartments,28.54581,77.18238,1152.93
394,Derawal Nagar,28.72461,77.2727,8171.6
395,Dwarka Sector 12 Pocket 4,28.5944,77.04831,9145.82
396,Dwarka Sector 16 Main Road,28.56305,77.05974,8284.02
397,Paschim Vihar Main,28.67984,77.07725,10952.38
398,Sector 6 Dwarka Palam Vihar,28.59021,77.07031,11319.5
399,Sushant Lok Delhi,28.77388,77.18114,3459.87
400,Vinod Nagar East,28.625,77.29902,474.07
401,10 Sector Dwarka,28.56188,77.05736,8200.93
402,B K Dutt Colony,28.58111,77.21655,21912.35
403,Bhagwati Vihar,28.71066,77.27918,2888.89
404,Block A,28.63246,77.21828,11785.71
405,Delhi Ajmer Expressway,28.59279,77.16314,8208.33
406,Jagriti Enclave Shreshtha Viha,28.65078,77.31123,20790.44
407,Kundli,28.60938,77.32602,5177.13
408,Loknayak Puram,28.6636,77.01016,5765.43
409,Mansarovar Park,28.67743,77.29936,7849.56
410,Mayur Vihar III,28.61125,77.33407,810.86
411,Okhla Vihar,28.54546,77.31162,4888.89
412,Ranjeet Nagar,28.65075,77.15755,10909.09
413,Shyam Vihar Phase1,28.59668,77.00743,4637.25
414,Anupam Garden 10th Lane,28.51409,77.20734,9523.81
415,Bhiwadi,,,3696.78
416,Block A1 Chattarpur,28.49504,77.18454,3750.0
417,C Block Janakpuri Road,28.61643,77.09649,11313.32
418,DCM Road,28.66256,77.20328,35115.7
419,Deepali,28.69793,77.11914,7393.76
420,Delhi Jaipur Expressway,28.59279,77.16314,14122.11
421,Dilshad Colony,28.6847,77.32774,8714.29
422,Dwarka Sector 15,28.56305,77.05974,8216.37
423,Kakrola,28.6192,77.03238,6296.3
424,Kalu Sarai,28.54288,77.20184,25713.38
425,Kishangarh Mehrauli Road,28.51909,77.18173,5555.56
426,Mahipalpur Extension,28.55099,77.13143,4843.21
427,Nasirpur,28.59995,77.08722,8892.86
428,Navin Shahdara,28.67369,77.28326,9565.22
429,Sarai Rohilla,28.66584,77.18482,3157.89
430,Sector 111,28.53094,77.14139,10260.67
431,Sector 8 Dwarka Block B,28.58684,77.06325,10526.32
432,Sector-28 Rohini,28.74845,77.101,5798.52
433,Sector24,28.5596,77.03892,10142.86
434,SectorB Vasant Kunj,28.53436,77.14214,14285.71
435,Sewa Nagar,28.57791,77.22484,6166.67
436,Shakurpur,28.68225,77.13977,2471.91
437,Shadipur,28.65194,77.15791,20636.36
438,Aerocity,28.5506,77.12298,4391.01
439,Bharat Vihar,28.7237,77.04646,4383.33
440,Chitra Vihar,28.64285,77.28747,11877.01
441,Defence Colony Flyover,28.58252,77.01031,53722.18
442,Delhi Cantonment,28.59152,77.12946,8437.5
443,Delhi Jaipur Highway,28.59447,77.1665,211.9
444,duggal housing complex,,,3871.83
445,Ferozshah Road,,,2558.82
446,Karala,28.73733,77.03959,3424.66
447,Mansa Ram Park park Path,28.61841,77.03917,3500.0
448,Pochanpur Colony,28.5636,77.04624,6263.89
449,Sadar Bazaar,28.6674,77.29741,5166.93
450,Sector 103,28.53094,77.14139,4526.7
451,Sector 37 Rohini,28.73565,77.10332,3000.0
452,Sector 9,28.57744,77.06334,13750.0
453,Sheikh Sarai Phase2 New Delhi,28.53806,77.21781,12513.91
454,Sonia Vihar,28.72937,77.24566,2545.45
455,South Patel Nagar,28.64561,77.16682,13333.33
456,Vasant Enclave,28.57308,77.16,13221.54
457,Vasant Vihar C Block,,,40000.0
458,Batla House New Delhi,28.57112,77.28849,376.92
459,Block AP Poorvi Pitampura,28.70368,77.13933,13257.08
460,Chandni Chowk,28.65628,77.23233,8230.45
461,Fatehpurberi,28.46212,77.17516,8869.05
462,Govindpuri Extension New Delhi,28.53439,77.25808,4166.67
463,Ishwar nagar,28.55773,77.27086,11666.67
464,Jahangir Puri,28.72877,77.17558,6709.35
465,Khanpur Colony,,,4100.0
466,Naharpur Village,28.68845,77.31708,2777.78
467,Pankha Road,28.60668,77.12345,6000.0
468,Pocket 7 Dwarka Sector 12,28.59426,77.04121,8536.63
469,Sector 11,28.73373,77.10513,9190.97
470,Sector 12,28.59495,77.04213,13166.78
471,Sector C Vasant Kunj,28.53436,77.14214,40625.0
472,Sitapuri,28.61286,77.08281,4444.44
473,Sonepat,,,3390.63
474,Surajmal Vihar,28.66275,77.30724,21666.67
475,Ali Village,28.51631,77.30873,6976.74
476,Burari Garhi,,,4817.3
477,CA Apartments,28.54581,77.18238,109.74
478,Chandra Park,28.60533,77.23319,3902.11
479,DaryaGanj,28.64617,77.24364,9272.73
480,Freedom Fighter Vihar,,,5000.0
481,Gazipur,28.62679,77.3237,10540.11
482,HAUZ RANI,28.52846,77.20859,3571.43
483,Hill View,28.53366,77.26437,18416.67
484,Kanjhawla,28.69531,77.09965,3471.55
485,Karawal Nagar,28.7275,77.27011,2666.67
486,Mehrauli Village,28.52287,77.18108,3870.36
487,Munirka Kunj Main Road,28.73342,77.18638,1395.24
488,Palam Vihar,28.52543,77.05091,9152.54
489,R K Puram,28.63736,77.20657,29411.76
490,Ram Nagar Extension,28.68456,77.2922,5555.56
491,Rithala,28.71947,77.10147,4550.0
492,Sector 10,28.72321,77.11636,8919.76
493,Sector 4 Road,28.56008,77.17657,1017.2
494,Sector 6,28.59313,77.06591,7889.0
495,Sector-16 Dwarka,28.56305,77.05974,4250.0
496,Sector-19 Rohini,28.71306,77.11937,11531.25
497,Sector-21 Rohini,28.72203,77.12369,7865.38
498,SFS Flats Saket,28.54123,77.29822,13571.43
499,Sidharth Ext,28.66076,77.2924,12727.27
500,Sultanpur Extension,28.75024,77.03756,3969.7
501,10 Dwaraka Marg,28.58684,77.06325,8428.9
502,59 Sector 22 Road,28.55667,77.05822,12975.78
503,A1 Block Paschim Vihar Delhi,28.65635,77.08942,10952.38
504,Bamnoli Village Delhi,28.5404,77.02988,5000.0
505,Block J Rajouri Garden Extensi,28.64071,77.11329,12923.08
506,Budh Nagar,28.62477,77.29563,7777.78
507,Dhul Siras,28.55326,77.03105,4375.0
